system	yaml.name	search	comment	references	group	fill	stroke
HEC-03	HEC-03	TRUE	Hma-embedded candidate	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
HEC-04	HEC-04	TRUE	Hma-embedded candidate; related to fused PARIS systems	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
HEC-05	HEC-05	TRUE	Hma-embedded candidate; related to GmrSD family systems; BrxU	payneUNPUBLISHED:NA	DMS	#FFD6D5	#FF4945
HEC-06	HEC-06	TRUE	Hma-embedded candidate; related to GmrSD family systems	payneUNPUBLISHED:NA	DMS	#FFD6D5	#FF4945
HEC-07	HEC-07	TRUE	Hma-embedded candidate	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
HEC-08	HEC-08	TRUE	Hma-embedded candidate	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
HEC-09	HEC-09	TRUE	Hma-embedded candidate; defence undetected	payneUNPUBLISHED:NA	HEC	#FFD6D5	#FF4945
PDC-M01	PDC-M01	TRUE	Phage defence candidate; Minor overlap w/ septu_type_I & PDC-M62 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M02	PDC-M02	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M03	PDC-M03	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M04	PDC-M04	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M05	PDC-M05	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M06	PDC-M06	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M07	PDC-M07	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M08	PDC-M08	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M09	PDC-M09	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M10	PDC-M10	TRUE	Phage defence candidate; PDC-M10A == PDC-M13B	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M11	PDC-M11	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M12	PDC-M12	TRUE	Phage defence candidate; Minor overlap w/ AbiL - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M13	PDC-M13	TRUE	Phage defence candidate; PDC-M13B == PDC-M10A; PDC-M13A may appear at start or end of operon	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M14	PDC-M14	TRUE	Phage defence candidate; Minor overlap w/ AbiT - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M15	PDC-M15	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M16	PDC-M16	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M17	PDC-M17	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M18	PDC-M18	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M19	PDC-M19	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M20	PDC-M20	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M21	PDC-M21	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M22	PDC-M22	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M23	PDC-M23	TRUE	Phage defence candidate; Minor overlap w/ hachiman_type_I - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M24	PDC-M24	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M25	PDC-M25	TRUE	Phage defence candidate; Minor overlap w/ HEC-01 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M26	PDC-M26	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M27	PDC-M27	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M28	PDC-M28	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M29	PDC-M29	TRUE	Phage defence candidate; Minor overlap w/ Menshen - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M30	PDC-M30	TRUE	Phage defence candidate; Minor overlap w/ PDC-M41B - possibly related; PDC-M30B == PDC-M41B	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M31	PDC-M31	TRUE	Phage defence candidate; Minor overlap w/ HEC-01 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M32	PDC-M32	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M33	PDC-M33	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M34	PDC-M34	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M35	PDC-M35	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M36	PDC-M36	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M37	PDC-M37	TRUE	Phage defence candidate; Minor overlap w/ Dodola - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M38	PDC-M38	TRUE	Phage defence candidate; Minor overlap w/ AbiL - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M39	PDC-M39	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M40	PDC-M40	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M41	PDC-M41	TRUE	Phage defence candidate; Minor overlap w/ PDC-M30 - possibly related; PDC-M41B == PDC-M30B	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M42	PDC-M42	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M43	PDC-M43	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M44	PDC-M44	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M45	PDC-M45	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M46	PDC-M46	TRUE	Phage defence candidate; Minor overlap w/ Lamassu_Family - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M47	PDC-M47	TRUE	Phage defence candidate; Minor overlap w/ PD-T4-4 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M48	PDC-M48	TRUE	Phage defence candidate; Minor overlap w/ Lamassu_Family - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M49	PDC-M49	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M50	PDC-M50	TRUE	Phage defence candidate; Minor overlap w/ thoeris_type_I - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M51	PDC-M51	TRUE	Phage defence candidate; Minor overlap w/ viperin_solo - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M52	PDC-M52	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M53	PDC-M53	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M54	PDC-M54	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M55	PDC-M55	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M56	PDC-M56	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M57	PDC-M57	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M58	PDC-M58	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M59	PDC-M59	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M60	PDC-M60	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M61	PDC-M61	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M62	PDC-M62	TRUE	Phage defence candidate; Minor overlap w/ septu_type_I & PDC-M01 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M63	PDC-M63	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M64	PDC-M64	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M65	PDC-M65	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M66	PDC-M66	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M67	PDC-M67	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M68	PDC-M68	TRUE	Phage defence candidate; Minor overlap w/ Lamassu_Family - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M69	PDC-M69	TRUE	Phage defence candidate; Minor overlap w/ PDC-S70 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M70	PDC-M70	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M71	PDC-M71	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-M72	PDC-M72	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S01	PDC-S01	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S02	PDC-S02	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S03	PDC-S03	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S04	PDC-S04	TRUE	Phage defence candidate; Minor overlap w/ SoFic - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S05	PDC-S05	TRUE	Phage defence candidate; Minor overlap w/ PDC-S23 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S06	PDC-S06	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S07	PDC-S07	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S08	PDC-S08	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S09	PDC-S09	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S10	PDC-S10	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S11	PDC-S11	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S12	PDC-S12	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S13	PDC-S13	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S14	PDC-S14	TRUE	Phage defence candidate; Minor overlap w/ GAO_29 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S15	PDC-S15	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S16	PDC-S16	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S17	PDC-S17	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S18	PDC-S18	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S19	PDC-S19	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S20	PDC-S20	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S21	PDC-S21	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S22	PDC-S22	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S23	PDC-S23	TRUE	Phage defence candidate; Minor overlap w/ PDC-S05 - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S24	PDC-S24	TRUE	Phage defence candidate; Minor overlap w/ SoFic - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S25	PDC-S25	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S26	PDC-S26	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S27	PDC-S27	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S28	PDC-S28	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S29	PDC-S29	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S30	PDC-S30	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S31	PDC-S31	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S32	PDC-S32	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S33	PDC-S33	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S34	PDC-S34	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S35	PDC-S35	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S36	PDC-S36	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S37	PDC-S37	TRUE	Phage defence candidate; Minor overlap w/ Mokosh_TypeII - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S38	PDC-S38	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S39	PDC-S39	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S40	PDC-S40	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S41	PDC-S41	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S42	PDC-S42	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S43	PDC-S43	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S44	PDC-S44	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S45	PDC-S45	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S46	PDC-S46	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S47	PDC-S47	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S48	PDC-S48	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S49	PDC-S49	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S50	PDC-S50	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S51	PDC-S51	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S52	PDC-S52	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S53	PDC-S53	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S54	PDC-S54	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S55	PDC-S55	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S56	PDC-S56	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S57	PDC-S57	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S58	PDC-S58	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S59	PDC-S59	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S60	PDC-S60	TRUE	Phage defence candidate; Minor overlap w/ SEFIR - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S61	PDC-S61	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S62	PDC-S62	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S63	PDC-S63	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S64	PDC-S64	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S65	PDC-S65	TRUE	Phage defence candidate; Minor overlap w/ SEFIR - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S66	PDC-S66	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S67	PDC-S67	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S68	PDC-S68	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S69	PDC-S69	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S70	PDC-S70	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S71	PDC-S71	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S72	PDC-S72	TRUE	Phage defence candidate; Minor overlap w/ SoFic - possibly related	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
PDC-S73	PDC-S73	TRUE	Phage defence candidate	payneUNPUBLISHED:NA	PDC	#FFD6D5	#FF4945
Adjacent protein	adjacent	FALSE	Search should be set to FALSE; Only used by the PADLOC web server for drawing adjacent genes	NA	NA	#CCCCCC	#666666
CRISPR-Cas array	cas_type_arrays	TRUE	Captures CRISPR arrays	NA	CRISPR	#F9BA9A	#B8440A
